origin_station_id,destination_station_id,departure_time,mobility_type,constraint_mode,expected_transfer_count,max_eta_error_seconds,observed_eta_error_seconds,use_realtime,notes
station-sangnoksu,station-seongsu,2026-06-30T13:00:00+09:00,WHEELCHAIR,STRICT_STEP_FREE,1,300,90,true,out of station transfer fixture
station-seongsu,station-sangnoksu,2026-06-30T13:04:00+09:00,STROLLER,STRICT_STEP_FREE,1,300,90,true,out of station transfer fixture
station-sangnoksu,station-seongsu,2026-06-30T13:08:00+09:00,WHEELCHAIR,STRICT_STEP_FREE,1,300,90,true,out of station transfer fixture
station-seongsu,station-sangnoksu,2026-06-30T13:12:00+09:00,STROLLER,STRICT_STEP_FREE,1,300,90,true,out of station transfer fixture
station-sangnoksu,station-seongsu,2026-06-30T13:16:00+09:00,WHEELCHAIR,STRICT_STEP_FREE,1,300,90,true,out of station transfer fixture
station-seongsu,station-sangnoksu,2026-06-30T13:20:00+09:00,STROLLER,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-sangnoksu,station-seongsu,2026-06-30T13:24:00+09:00,WHEELCHAIR,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-seongsu,station-sangnoksu,2026-06-30T13:28:00+09:00,STROLLER,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-sangnoksu,station-seongsu,2026-06-30T13:32:00+09:00,WHEELCHAIR,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-seongsu,station-sangnoksu,2026-06-30T13:36:00+09:00,STROLLER,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-sangnoksu,station-seongsu,2026-06-30T13:40:00+09:00,WHEELCHAIR,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-seongsu,station-sangnoksu,2026-06-30T13:44:00+09:00,STROLLER,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-sangnoksu,station-seongsu,2026-06-30T13:48:00+09:00,WHEELCHAIR,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-seongsu,station-sangnoksu,2026-06-30T13:52:00+09:00,STROLLER,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
station-sangnoksu,station-seongsu,2026-06-30T13:56:00+09:00,WHEELCHAIR,STRICT_STEP_FREE,1,300,90,false,out of station transfer fixture
